Deal ID,Created Date,Lead Source,Company Name,Contact Email,Country,Industry,Lifecycle Stage,Deal Amount,Sales Rep,Close Date
D-10213,2025-11-03,Organic Search,cargoline transport,claire.90@cargolinetrans.com,CA,Manufacturing,LEAD,120000 $,Amine Bekkali,
D-10290,"Sep 18, 2025",Organic Search,BOREAL ENERGY,yanis.87@borealenergy.com,United States,Energy,Lost,"$12,000",Amine Bekkali,2025-10-12
D-10321,02/13/2025,direct,cedarwood properties,,US,Government,lead,-,David Chen,
D-10315,2025-01-25,GOOGLE ADS,NORDVALE LOGISTICS,CLAIRE.96@NORDVALELOGIST.COM,us,Retail,sql,0,David Chen,
D-10325,15-02-2025,EMAIL, Beacon Financial,MARC.99@BEACONFINANCIA.COM,USA,Construction,M.Q.L,,serkan saricam,
D-10001,2025-10-07,Direct,Precision Manufacturing ,luc.84@precisionmanuf.com,CAN,Retail,MQL,"$ 12,000.00",serkan saricam,
D-10330,"Feb 23, 2025",Meta,BOREAL ENERGY,LUC.90@BOREALENERGY.COM,canada,Manufacturing,closed lost,"12,000",Maciek Marchlewski,2025-04-26
D-10234,"Mar 14, 2025",LinkedIn, Northstar Bank,nadia.67@northstarbank.com,USA,Healthcare,Opportunity,-,Sarah OConnor,
D-10093,02/28/2025,LINKEDIN ,NORDVALE LOGISTICS,,US,healthcare,Lead,"$ 34,000.00",Amine Bekkali,
D-10337,08/15/2025,Direct,meridian bank,,USA,healthcare,lead,"$ 4,500.00",serkan saricam,
D-10419,13-04-2025,organic, Beaumont Retail Group,marc.14@beaumontretail.com,canada,healthcare,CUSTOMER,0,D. Chen,"Jun 15, 2025"
D-10042,"Mar 15, 2025",referal, Precision Manufacturing,Tom.96@Precisionmanuf.Com,canada,Education,Lead,"$21,000",Maciek Marchlewski,
D-10087,28-02-2025,Referral, Beaumont Retail Group,emma.72@beaumontretail.com,US,Construction,Opportunity,27500 $,amine bekkali,
D-10292,"Oct 11, 2025",Google Adwords,ville de saint-laurent,TOM.36@VILLEDESAINT-L.COM,US,Government,Lead,"$ 15,500.00",Sarah O'Connor,
D-10393,2025-02-03,Trade Show,Blue Harbour Shipping ,,CA,retail,M.Q.L,,D. Chen,
D-10085,"Aug 27, 2025",FB, Cedarwood Properties,ahmed.42@cedarwoodprope.com,United States,banking,mql,"$ 8,200.00",Amine Bekkali,
D-10036,01/08/2025,email campaign,FRASER HEALTH PARTNERS,DAVID.65@FRASERHEALTHPA.COM,Canada,construction,LEAD,"$8,200",Serkan Saricam,
D-10084,03-03-2025,LinkedIn Ads,Alpine Logistics ,marc.9@alpinelogistic.com,CAN,retail,SQL,N/A,julie tremblay,
D-10314,"Sep 04, 2025",googleads,Granite Mining ,rita.84@granitemining.com ,CAN,Energy,mql,N/A,Maciek Marchlewski,
D-10137,31-05-2025,EMAIL,GRANITE MINING,CLAIRE.99@GRANITEMINING.COM,CA,banking,Lead,"12,000",Serkan Saricam,
D-10169,"Feb 09, 2025",Trade-Show,Boreal Energy ,david.8@borealenergy.com,canada,Banking,customer,"$21,000",Maciek Marchlewski,"Jul 01, 2025"
D-10368,"Jul 22, 2025",facebook ads,ironclad security,Julie.12@Ironcladsecuri.Com,CA,Education,Lost,4500,Maciek Marchlewski,"Oct 13, 2025"
D-10280,01/22/2025,Direct,Vertex Industries ,marc.41@vertexindustri.com ,CA,Healthcare,LEAD,85000,julie tremblay,
D-10373,30-01-2025,Event, Crestview Manufacturing,ahmed.96@crestviewmanuf.com,CAN,retail,closed lost,12000 $,serkan saricam,06/07/2025
D-10247,"Sep 19, 2025",meta ads,LAURENTIDE FOODS,luc.19@laurentidefood.com,CAN,Logistics,Opportunity,"$ 62,000.00",serkan saricam,
D-10429,17-11-2025,SEO,fraser health partners,Nadia.47@Fraserhealthpa.Com,Canada,Education,lead,"8,200",amine bekkali,
D-10159,08-11-2025,LinkedIn,Nordvale Logistics,RITA.95@NORDVALELOGIST.COM,CA,Retail,closed lost,27500,Julie Tremblay,2026-03-11
D-10022,09/28/2025,referal,pelican freight,rita.16@pelicanfreight.com,Canada,Energy,Lost,"$85,000",serkan saricam,10/22/2025
D-10277,2025-10-25,LinkedIn Ads,Terra Mining Corp,julie.7@terraminingcor.com ,CA,Manufacturing,SQL,62000,Julie Tremblay,
D-10073,25-01-2025,GOOGLE ADS,Nordvale Logistics,tom.77@nordvalelogist.com,CAN,Manufacturing,customer,12000,Serkan Saricam,02/15/2025
D-10071,02/26/2025,Organic Search, Laurentide Foods,sarah.65@laurentidefood.com,USA,Retail,closed lost,,Julie Tremblay,"Mar 09, 2025"
D-10145,28-03-2025,Trade-Show,Blue Harbour Shipping,tom.65@blueharbourshi.com ,Canada,Banking,customer,4500,Serkan Saricam,2025-05-21
D-10428,2025-06-06,SEO,Summit Healthcare ,Ahmed.4@Summithealthca.Com,us,Government,Customer,85000,serkan saricam,"Aug 21, 2025"
D-10158,30-04-2025,Referral,alpine logistics,AHMED.3@ALPINELOGISTIC.COM,United States of America,Manufacturing,M.Q.L,,Serkan Saricam,
D-10155,"Jul 02, 2025",SEO,optima clinics,luc.93@optimaclinics.com,CA,Manufacturing,Customer,8200 $,Sarah OConnor,2025-08-04
D-10086,"Mar 29, 2025",LinkedIn Ads, CargoLine Transport,NADIA.5@CARGOLINETRANS.COM,United States,retail,Opportunity,"48,000",Amine Bekkali,
D-10355,2025-05-03,google ads,Alpine Logistics,,canada,retail,M.Q.L,8200,serkan saricam,
D-10092,10/29/2025,Google Ads,Nordvale Logistics,Tom.72@Nordvalelogist.Com,Canada,Retail,closed lost,"$ 34,000.00",Amine Bekkali,03/14/2026
D-10100,2025-04-20,REFERRAL,Granite Mining,rita.50@granitemining.com,us,retail,MQL,,M. Marchlewski,
D-10434,2025-07-09,referal,QUANTUM RETAIL,luc.87@quantumretail.com,canada,Banking,Lead,-,D. Chen,
D-10057,06-05-2025,Google-Ads, Ironclad Security,NADIA.83@IRONCLADSECURI.COM,Canada,healthcare,sql,N/A,D. Chen,
D-10270,2025-07-05,REFERRAL,VILLE DE SAINT-LAURENT,nadia.87@villedesaint-l.com ,us,Construction,MQL,48000,Serkan Saricam,
D-10382,2025-11-06,Organic,Ville de Saint-Laurent ,claire.93@villedesaint-l.com,Canada,Government,SQL,8200 $,serkan saricam,
D-10221,"Jan 28, 2025",tradeshow,precision manufacturing,SARAH.40@PRECISIONMANUF.COM,us,construction,SQL,$0,julie tremblay,
D-10252,17-07-2025,Organic Search,BEACON FINANCIAL,JULIE.53@BEACONFINANCIA.COM,canada,Mining,MQL,"12,000",David Chen,
D-10339,2025-04-08,SEO, Alpine Logistics,julie.16@alpinelogistic.com ,Canada,Banking,Lead,"$ 48,000.00",Sarah OConnor,
D-10030,02-10-2025,Google-Ads,precision manufacturing,luc.35@precisionmanuf.com,CA,healthcare,sql,0,Julie Tremblay,
D-10127,2025-01-09,Direct,laurentide foods,claire.7@laurentidefood.com ,United States of America,banking,lead,4500 $,David Chen,
D-10136,09-11-2025,EMAIL, Precision Manufacturing,david.8@precisionmanuf.com,CAN,construction,Customer,"$ 120,000.00",David Chen,11/22/2025
D-10343,08/05/2025,meta ads,Collège Lasalle ,nadia.5@collegelasalle.com ,Canada,Healthcare,Lead,"34,000",amine bekkali,
D-10026,2025-07-31,Event,Granite Mining ,ahmed.91@granitemining.com ,Canada,Construction,Customer,15500,Amine Bekkali,09-11-2025
D-10044,04/23/2025,direct,Ironclad Security,Yanis.58@Ironcladsecuri.Com,United States,Construction,LEAD,"$34,000",M. Marchlewski,
D-10183,05/13/2025,Trade Show,laurentide foods,marc.57@laurentidefood.com,Canada,Manufacturing,sql,0,D. Chen,
D-10259,"Jan 26, 2025",organic,Zenith Retail,TOM.30@ZENITHRETAIL.COM,canada,retail,opportunity,"27,500",Maciek Marchlewski,
D-10133,2025-10-18,Google-Ads,Zenith Retail ,rita.98@zenithretail.com,Canada,Logistics,Lost,"21,000",Sarah OConnor,2025-11-10
D-10274,05-07-2025,LinkedIn Ads,maple grove schools,JULIE.53@MAPLEGROVESCHO.COM,canada,Construction,LEAD,12000,Serkan Saricam,
D-10180,2025-10-27,LINKEDIN , Vertex Industries,tom.69@vertexindustri.com,CA,Banking,SQL,"$ 15,500.00",Amine Bekkali,
D-10306,"Oct 27, 2025",facebook ads, Northstar Bank,tom.33@northstarbank.com,USA,banking,mql,15500 $,Maciek Marchlewski,
D-10075,"Feb 21, 2025",REFERRAL,TERRA MINING CORP,TOM.71@TERRAMININGCOR.COM,United States,construction,M.Q.L,"15,500",Serkan Saricam,
D-10275,08-05-2025,Website,BEACON FINANCIAL,David.20@Beaconfinancia.Com,United States of America,retail,MQL,N/A,julie tremblay,
D-10130,"Feb 02, 2025",email campaign,NORDVALE LOGISTICS,claire.83@nordvalelogist.com,us,retail,Lost,"$ 34,000.00",Serkan Saricam,2025-02-22
D-10328,2025-12-01,email campaign,Optima Clinics ,tom.34@optimaclinics.com,United States,retail,mql,"$48,000",serkan saricam,
D-10416,"Aug 13, 2025",Direct, CargoLine Transport,sarah.12@cargolinetrans.com ,CAN,Retail,Customer,"$21,000",amine bekkali,2025-10-18
D-10003,2025-10-25,facebook ads,Northstar Bank ,DAVID.54@NORTHSTARBANK.COM,USA,retail,opportunity,27500,Amine Bekkali,
D-10189,11/02/2025,linkedin,Granite Mining ,rita.34@granitemining.com,United States of America,retail,customer,27500,Amine Bekkali,02/23/2026
D-10095,25-08-2025,Meta,CRESTVIEW MANUFACTURING,rita.60@crestviewmanuf.com,Canada,retail,M.Q.L,"$4,500",julie tremblay,
D-10286,17-02-2025,Google Adwords, Cedarwood Properties,Emma.19@Cedarwoodprope.Com,United States,Healthcare,customer,15500 $,Sarah O'Connor,07-03-2025
D-10048,04/13/2025,Google Adwords,Boreal Energy ,sarah.35@borealenergy.com ,Canada,Education,customer,85000 $,David Chen,"Apr 30, 2025"
D-10035,13-10-2025,Facebook,COLLÈGE LASALLE,Marc.34@Collegelasalle.Com,Canada,Construction,Customer,"$4,500",David Chen,01/10/2026
D-10002,2025-02-05,email campaign,SUMMIT HEALTHCARE,julie.31@summithealthca.com,Canada,healthcare,MQL,"$ 4,500.00",Serkan Saricam,
D-10303,"Nov 06, 2025",linkedin, Ironclad Security,yanis.8@ironcladsecuri.com ,us,healthcare,lead,-,Julie Tremblay,
D-10276,05/17/2025,meta ads,Ironclad Security ,,United States of America,Banking,customer,"4,500",Maciek Marchlewski,09/07/2025
D-10316,"Aug 05, 2025",google ads,CargoLine Transport ,tom.6@cargolinetrans.com,us,Energy,Opportunity,0,serkan saricam,
D-10308,07-02-2025,LinkedIn Ads, Beacon Financial,rita.3@beaconfinancia.com,USA,Construction,customer,4500 $,Julie Tremblay,20-02-2025
D-10302,02/11/2025,Google Ads,granite mining,julie.47@granitemining.com,us,Logistics,MQL,"120,000",M. Marchlewski,
D-10134,2025-11-09,Trade Show,beacon financial,Julie.50@Beaconfinancia.Com,USA,banking,M.Q.L,120000 $,Sarah O'Connor,
D-10054,"Sep 05, 2025",meta ads,Crestview Manufacturing,ahmed.5@crestviewmanuf.com ,canada,healthcare,Lost,,M. Marchlewski,"Dec 24, 2025"
D-10082,2025-08-22,googleads,Ville de Saint-Laurent,marc.80@villedesaint-l.com ,CA,Construction,closed lost,120000,David Chen,"Dec 31, 2025"
D-10199,"May 07, 2025",Linked In,Atlas Construction ,tom.91@atlasconstruct.com ,USA,Education,sql,-,Julie Tremblay,
D-10285,2025-01-08,linkedin, Blue Harbour Shipping,tom.77@blueharbourshi.com ,us,construction,opportunity,"$ 21,000.00",David Chen,
D-10090,06-10-2025,Linked In,nordvale logistics,nadia.39@nordvalelogist.com,CAN,Construction,sql,"$ 15,500.00",amine bekkali,
D-10411,2025-09-26,facebook ads,Summit Healthcare,david.41@summithealthca.com,CA,Manufacturing,Closed Lost,"$ 12,000.00",Maciek Marchlewski,02/19/2026
D-10237,"Jul 04, 2025",Email Marketing,Terra Mining Corp,julie.83@terraminingcor.com ,US,Logistics,lead,"$ 4,500.00",Sarah OConnor,
D-10338,14-03-2025,LinkedIn,FRASER HEALTH PARTNERS,david.60@fraserhealthpa.com ,CAN,Mining,LEAD,85000 $,Sarah OConnor,
D-10357,20-05-2025,Direct, Ville de Saint-Laurent,,us,Healthcare,mql,"85,000",Maciek Marchlewski,
D-10007,22-08-2025,google ads,Granite Mining,Marc.94@Granitemining.Com,us,Construction,opportunity,62000 $,M. Marchlewski,
D-10240,08/25/2025,Event,Crestview Manufacturing ,ahmed.41@crestviewmanuf.com,Canada,Energy,SQL,"$34,000",D. Chen,
D-10246,04-08-2025,Website,BEAUMONT RETAIL GROUP,yanis.37@beaumontretail.com,US,construction,Opportunity,15500 $,M. Marchlewski,
D-10241,03/24/2025,Direct,VILLE DE SAINT-LAURENT,ahmed.39@villedesaint-l.com,USA,retail,Lead,$0,M. Marchlewski,
D-10138,"Oct 13, 2025",facebook ads,Boreal Energy ,Claire.19@Borealenergy.Com,CAN,Mining,Lost,"$ 12,000.00",amine bekkali,"Nov 13, 2025"
D-10156,"Jul 15, 2025",direct,Collège Lasalle ,,canada,retail,Lead,"$ 12,000.00",julie tremblay,
D-10282,01/31/2025,Organic,fraser health partners,TOM.9@FRASERHEALTHPA.COM,us,Healthcare,customer,85000 $,Julie Tremblay,05-03-2025
D-10267,21-02-2025,Organic Search,Atlas Construction ,yanis.13@atlasconstruct.com ,US,Healthcare,lead,15500,Serkan Saricam,
D-10020,2025-05-09,Trade-Show,Beacon Financial ,MARC.33@BEACONFINANCIA.COM,us,Logistics,Customer,"$ 8,200.00",amine bekkali,09/03/2025
D-10194,01/26/2025,Organic,Cedarwood Properties ,Luc.26@Cedarwoodprope.Com,United States of America,Mining,opportunity,48000,David Chen,
D-10311,"Mar 03, 2025",google ads,RIVIÈRE CONSTRUCTION,AHMED.56@RIVIERECONSTRU.COM,Canada,Manufacturing,SQL,"$ 62,000.00",serkan saricam,
D-10333,05/14/2025,LinkedIn Ads, Quantum Retail,YANIS.93@QUANTUMRETAIL.COM,United States,Energy,customer,12000,David Chen,2025-10-04
D-10125,"Jun 03, 2025",tradeshow,BOREAL ENERGY,Nadia.55@Borealenergy.Com,United States of America,Mining,opportunity,12000 $,Amine Bekkali,
D-10217,2025-11-11,GOOGLE ADS,maple grove schools,,CAN,Mining,customer,$0,julie tremblay,10-04-2026
D-10319,"Aug 28, 2025",linkedin,Northstar Bank ,marc.24@northstarbank.com,canada,Banking,SQL,0,Amine Bekkali,
D-10205,2025-05-15,email campaign,Precision Manufacturing ,nadia.18@precisionmanuf.com,Canada,healthcare,sql,,D. Chen,
D-10360,2025-09-19,Meta,Meridian Bank,TOM.59@MERIDIANBANK.COM,Canada,healthcare,Closed Lost,"$ 27,500.00",Amine Bekkali,2025-12-22
D-10060,2025-09-11,FB,terra mining corp,EMMA.79@TERRAMININGCOR.COM,Canada,banking,Closed Lost,"$48,000",M. Marchlewski,"Oct 28, 2025"
D-10117,15-05-2025,Trade-Show,ZENITH RETAIL,Nadia.30@Zenithretail.Com,CAN,Logistics,Closed Lost,48000,Julie Tremblay,2025-09-25
D-10008,"Mar 13, 2025",Google Adwords,Cedarwood Properties,EMMA.8@CEDARWOODPROPE.COM,CA,Government,sql,15500 $,David Chen,
D-10186,"Aug 10, 2025",REFERRAL,NORTHSTAR BANK,nadia.52@northstarbank.com,USA,healthcare,customer,27500,David Chen,11/27/2025
D-10214,09/26/2025,facebook ads,northstar bank,rita.97@northstarbank.com,us,Energy,MQL,21000 $,serkan saricam,
D-10160,03/03/2025,Website,TERRA MINING CORP,emma.75@terraminingcor.com,CAN,Manufacturing,MQL,N/A,Maciek Marchlewski,
D-10413,"Jan 17, 2025",LinkedIn Ads,collège lasalle,Ahmed.55@Collegelasalle.Com,USA,Education,Lead,N/A,julie tremblay,
D-10109,"Mar 02, 2025",organic, Atlas Construction,rita.39@atlasconstruct.com ,Canada,Retail,MQL,8200,David Chen,
D-10122,"Mar 31, 2025",Organic,BEAUMONT RETAIL GROUP,emma.19@beaumontretail.com ,United States,Manufacturing,Lead,$0,D. Chen,
D-10324,2025-05-13,tradeshow,BLUE HARBOUR SHIPPING,Claire.97@Blueharbourshi.Com,CAN,Banking,Lead,"$ 15,500.00",julie tremblay,
D-10236,"May 10, 2025",organic,Crestview Manufacturing ,Yanis.4@Crestviewmanuf.Com,CAN,Construction,closed lost,120000 $,Serkan Saricam,13-07-2025
D-10362,30-09-2025,Google Adwords, Zenith Retail,Rita.92@Zenithretail.Com,United States,Retail,opportunity,-,julie tremblay,
D-10047,13-08-2025,LinkedIn,FRASER HEALTH PARTNERS,luc.76@fraserhealthpa.com,Canada,Manufacturing,Opportunity,"$120,000",Sarah OConnor,
D-10453,10-04-2025,referal, Maple Grove Schools,luc.95@maplegrovescho.com ,US,construction,CUSTOMER,"$27,500",Serkan Saricam,2025-07-20
D-10167,12-07-2025,google ads,cedarwood properties,sarah.84@cedarwoodprope.com ,CAN,Construction,closed lost,"27,500",Maciek Marchlewski,"Nov 21, 2025"
D-10293,01/30/2025,Partner Referral, Quantum Retail,nadia.21@quantumretail.com,United States of America,Healthcare,customer,0,Sarah OConnor,2025-06-21
D-10359,"May 04, 2025",Linked In,Atlas Construction ,rita.58@atlasconstruct.com ,Canada,healthcare,LEAD,120000 $,amine bekkali,
D-10063,08/15/2025,Event,Northstar Bank ,Luc.46@Northstarbank.Com,United States of America,Government,LEAD,N/A,Maciek Marchlewski,
D-10334,2025-07-21,LinkedIn,Zenith Retail,SARAH.84@ZENITHRETAIL.COM,US,Manufacturing,customer,4500 $,julie tremblay,2025-10-06
D-10295,"Sep 04, 2025",Direct, Terra Mining Corp,Nadia.51@Terraminingcor.Com,US,Logistics,Opportunity,0,M. Marchlewski,
D-10301,03/14/2025,Meta,Boreal Energy,rita.84@borealenergy.com ,United States,retail,CUSTOMER,"34,000",julie tremblay,10-04-2025
D-10392,2025-02-20,Organic,Rivière Construction,ahmed.71@riviereconstru.com,US,construction,mql,15500,serkan saricam,
D-10418,2025-03-01,LinkedIn Ads,Atlas Construction ,David.56@Atlasconstruct.Com,Canada,Mining,Closed Lost,-,Amine Bekkali,"Mar 22, 2025"
D-10124,28-06-2025,SEO,Pelican Freight ,marc.28@pelicanfreight.com ,United States of America,Banking,MQL,"120,000",Maciek Marchlewski,
D-10103,"Sep 14, 2025",Trade-Show,Maple Grove Schools ,,United States of America,Mining,MQL,21000,amine bekkali,
D-10051,2025-05-10,Trade Show, Ironclad Security,EMMA.55@IRONCLADSECURI.COM,CAN,Construction,LEAD,$0,Julie Tremblay,
D-10443,"Jul 22, 2025",Email,ironclad security,Julie.12@Ironcladsecuri.Com,CA,Education,Lost,4500,Maciek Marchlewski,"Oct 13, 2025"
D-10119,23-04-2025,LinkedIn, Maple Grove Schools,tom.75@maplegrovescho.com,CA,Manufacturing,LEAD,"48,000",Maciek Marchlewski,
D-10313,2025-08-19,SEO,Laurentide Foods,JULIE.76@LAURENTIDEFOOD.COM,CA,construction,closed lost,"$ 34,000.00",Sarah OConnor,2025-12-19
D-10294,"Jul 09, 2025",facebook ads,Boreal Energy,claire.39@borealenergy.com ,USA,Government,M.Q.L,"8,200",David Chen,
D-10297,23-10-2025,Referral,Crestview Manufacturing,,CAN,retail,opportunity,"$ 12,000.00",Amine Bekkali,
D-10342,"Jul 16, 2025",facebook ads,Ville de Saint-Laurent,NADIA.62@VILLEDESAINT-L.COM,United States,Energy,Lost,48000,D. Chen,09/19/2025
D-10106,07/03/2025,organic,northstar bank,rita.97@northstarbank.com,us,Education,Customer,27500,Julie Tremblay,05-11-2025
D-10097,"Jul 24, 2025",direct,CargoLine Transport ,Ahmed.96@Cargolinetrans.Com,Canada,Manufacturing,Customer,34000,Serkan Saricam,"Nov 08, 2025"
D-10320,26-02-2025,Partner Referral,Quantum Retail,JULIE.94@QUANTUMRETAIL.COM,United States,Healthcare,LEAD,"12,000",D. Chen,
D-10018,2025-02-18,LINKEDIN ,Precision Manufacturing,rita.51@precisionmanuf.com ,us,Energy,M.Q.L,0,Sarah OConnor,
D-10065,17-11-2025,Partner Referral,fraser health partners,Nadia.47@Fraserhealthpa.Com,Canada,Education,lead,"8,200",amine bekkali,
D-10171,10/14/2025,Email Marketing,Optima Clinics ,luc.14@optimaclinics.com,United States,Manufacturing,MQL,21000 $,amine bekkali,
D-10435,11/02/2025,Event,boreal energy,marc.39@borealenergy.com ,us,Energy,Lead,"$48,000",Amine Bekkali,
D-10059,09/16/2025,organic,Meridian Bank,david.95@meridianbank.com,CAN,Mining,SQL,8200,Julie Tremblay,
D-10191,10-07-2025,Google Adwords,Precision Manufacturing ,tom.14@precisionmanuf.com,CAN,Mining,opportunity,"$4,500",M. Marchlewski,
D-10006,2025-06-15,Google Adwords,Summit Healthcare,tom.10@summithealthca.com,United States,Government,Customer,"62,000",Sarah O'Connor,"Oct 30, 2025"
D-10195,2025-06-01,meta ads,granite mining,nadia.1@granitemining.com,canada,Retail,lead,"$ 120,000.00",julie tremblay,
D-10423,02-10-2025,Google-Ads,precision manufacturing,luc.35@precisionmanuf.com,CA,healthcare,sql,0,Julie Tremblay,
D-10200,"Mar 07, 2025",FB,Atlas Construction ,CLAIRE.73@ATLASCONSTRUCT.COM,canada,Education,Closed Lost,85000,Julie Tremblay,"Apr 25, 2025"
D-10201,29-05-2025,Organic Search, Nordvale Logistics,emma.27@nordvalelogist.com,canada,Healthcare,opportunity,"$4,500",julie tremblay,
D-10011,07/29/2025,googleads,Cedarwood Properties,emma.88@cedarwoodprope.com,CAN,Government,CUSTOMER,N/A,M. Marchlewski,2025-11-18
D-10412,2025-09-26,EMAIL,Terra Mining Corp ,julie.35@terraminingcor.com,canada,Manufacturing,Customer,48000 $,Sarah O'Connor,2026-01-17
D-10305,"Nov 01, 2025",Meta,COLLÈGE LASALLE,Nadia.9@Collegelasalle.Com,Canada,Energy,MQL,15500 $,julie tremblay,
D-10204,28-11-2025,Email,Nordvale Logistics,Luc.19@Nordvalelogist.Com,CA,Logistics,M.Q.L,$0,julie tremblay,
D-10448,02/11/2025,Website,granite mining,julie.47@granitemining.com,us,Logistics,MQL,"120,000",M. Marchlewski,
D-10226,02-04-2025,Referral,IRONCLAD SECURITY,emma.51@ironcladsecuri.com,United States of America,Logistics,LEAD,$0,julie tremblay,
D-10407,"Nov 03, 2025",linkedin, Pelican Freight,claire.48@pelicanfreight.com,CA,Government,Customer,$0,amine bekkali,07-12-2025
D-10058,14-07-2025,Email Marketing,GRANITE MINING,JULIE.33@GRANITEMINING.COM,USA,Logistics,sql,"$21,000",David Chen,
D-10062,24-06-2025,Google Adwords,RIVIÈRE CONSTRUCTION,marc.40@riviereconstru.com ,USA,construction,closed lost,,serkan saricam,2025-07-04
D-10261,13-04-2025,direct,ATLAS CONSTRUCTION,MARC.81@ATLASCONSTRUCT.COM,United States,retail,Lead,-,julie tremblay,
D-10454,14-03-2025,LinkedIn,FRASER HEALTH PARTNERS,david.60@fraserhealthpa.com ,CAN,Mining,LEAD,85000 $,Sarah OConnor,
D-10078,"Sep 29, 2025",Organic,quantum retail,Ahmed.19@Quantumretail.Com,CAN,Mining,M.Q.L,,M. Marchlewski,
D-10099,2025-03-17,googleads,Cedarwood Properties ,,USA,healthcare,lead,"$62,000",Amine Bekkali,
D-10218,01/16/2025,web form,MERIDIAN BANK,marc.75@meridianbank.com ,United States,Manufacturing,Lost,,Sarah OConnor,04/02/2025
D-10219,"May 23, 2025",Direct,GRANITE MINING,Ahmed.76@Granitemining.Com,us,Manufacturing,closed lost,,Serkan Saricam,08/28/2025
D-10028,18-05-2025,Google Adwords,Collège Lasalle,AHMED.35@COLLEGELASALLE.COM,United States,Retail,CUSTOMER,-,Sarah O'Connor,"Oct 06, 2025"
D-10089,"Aug 15, 2025",Meta,Rivière Construction,Sarah.20@Riviereconstru.Com,Canada,Retail,Closed Lost,"27,500",Serkan Saricam,09/06/2025
D-10019,2025-10-13,direct,atlas construction,Claire.61@Atlasconstruct.Com,CA,construction,mql,,Maciek Marchlewski,
D-10170,2025-04-19,SEO,Granite Mining ,Luc.44@Granitemining.Com,United States,Energy,Opportunity,"$ 120,000.00",Sarah OConnor,
D-10126,2025-06-17,GOOGLE ADS,Quantum Retail ,tom.64@quantumretail.com,US,Education,opportunity,-,Amine Bekkali,
D-10346,2025-08-17,REFERRAL,CargoLine Transport ,rita.35@cargolinetrans.com ,CA,Manufacturing,MQL,$0,M. Marchlewski,
D-10405,"Aug 21, 2025",Trade Show,Zenith Retail,tom.50@zenithretail.com,Canada,Education,SQL,N/A,David Chen,
D-10144,2025-08-28,Referral,Nordvale Logistics,Marc.72@Nordvalelogist.Com,USA,banking,Lost,"$120,000",Maciek Marchlewski,2025-12-17
D-10181,14-09-2025,LINKEDIN ,Terra Mining Corp,JULIE.10@TERRAMININGCOR.COM,CAN,Construction,closed lost,34000 $,Julie Tremblay,2025-10-09
D-10081,"Jun 11, 2025",Event,TERRA MINING CORP,claire.59@terraminingcor.com,us,Banking,Closed Lost,"$ 8,200.00",D. Chen,"Aug 23, 2025"
D-10379,03/04/2025,Direct,Alpine Logistics ,ahmed.3@alpinelogistic.com,us,Healthcare,customer,,Amine Bekkali,2025-05-06
D-10094,2025-04-05,SEO,cedarwood properties,tom.83@cedarwoodprope.com ,United States of America,Retail,opportunity,$0,David Chen,
D-10329,19-03-2025,Organic Search,Rivière Construction,yanis.2@riviereconstru.com,CA,retail,MQL,62000 $,Julie Tremblay,
D-10079,"Nov 27, 2025",facebook ads,Beacon Financial,emma.41@beaconfinancia.com,us,Healthcare,CUSTOMER,-,amine bekkali,01/17/2026
D-10161,"Jan 15, 2025",Google-Ads,atlas construction,emma.96@atlasconstruct.com ,USA,Construction,CUSTOMER,62000 $,David Chen,2025-06-08
D-10080,2025-03-10,web form,Meridian Bank,LUC.67@MERIDIANBANK.COM,Canada,Logistics,mql,4500,julie tremblay,
D-10421,11/22/2025,EMAIL,SUMMIT HEALTHCARE,Rita.21@Summithealthca.Com,us,Logistics,LEAD,0,David Chen,
D-10148,"Mar 18, 2025",tradeshow,Ville de Saint-Laurent ,Julie.80@Villedesaint-L.Com,USA,Manufacturing,closed lost,N/A,Maciek Marchlewski,2025-04-02
D-10225,09/09/2025,FB,OPTIMA CLINICS,Nadia.8@Optimaclinics.Com,Canada,Manufacturing,customer,4500,Sarah OConnor,12/17/2025
D-10216,2025-07-06,Referral,ATLAS CONSTRUCTION,JULIE.80@ATLASCONSTRUCT.COM,canada,healthcare,M.Q.L,"12,000",julie tremblay,
D-10174,"Jan 11, 2025",Partner Referral,precision manufacturing,SARAH.42@PRECISIONMANUF.COM,United States of America,Energy,Lead,$0,Julie Tremblay,
D-10068,2025-08-12,FB,Blue Harbour Shipping,emma.71@blueharbourshi.com,canada,construction,MQL,$0,D. Chen,
D-10365,02/19/2025,googleads, Zenith Retail,claire.7@zenithretail.com,us,Logistics,Opportunity,,amine bekkali,
D-10023,"Nov 15, 2025",Direct,MAPLE GROVE SCHOOLS,yanis.4@maplegrovescho.com,United States of America,Energy,SQL,"62,000",D. Chen,
D-10386,31-07-2025,Trade-Show,CargoLine Transport,nadia.90@cargolinetrans.com ,US,Logistics,MQL,12000 $,M. Marchlewski,
D-10139,"Nov 02, 2025",Website,BEAUMONT RETAIL GROUP,EMMA.91@BEAUMONTRETAIL.COM,canada,Banking,Lead,85000 $,julie tremblay,
D-10101,16-01-2025,Direct,Terra Mining Corp ,David.41@Terraminingcor.Com,us,Manufacturing,customer,"8,200",Julie Tremblay,07-02-2025
D-10190,"Oct 23, 2025",Google Adwords, Crestview Manufacturing,,CA,Energy,mql,"$8,200",Maciek Marchlewski,
